category,original_text,refined_text
7,mbc 뉴스투데이 4월 7일[월],"""MBC 뉴스투데이 4월 7일 월요일 방송"""
7,mbc 뉴스데스크 03월 03일 [월],"""MBC 뉴스데스크 3월 3일 월요일 방송"""
7,mbc 뉴스데스크 03월 24일[월],"""MBC 뉴스데스크 3월 24일 월요일 방송"""
8,100만원짜리 마이크 고량주 땡기는 영상 2탄 (이번엔 진짜,"""100만원짜리 마이크로 고량주 땡기는 영상 2탄 (이번엔 진짜)"""
8,박씨 냥밍월드 연기를 그만두고 공장을 다녔다는 학씨 부인? 학씨 부인 최서안 배우는,"""박씨 냥밍월드 연기 그만두고 공장 다닌 학씨 부인? 배우 최서안의 이야기"""
8,"피힐 무비스푼 아이유도 피할 수 없었던 스콘 그 시절 끔찍한 시집살이 피할 수 없는 시월드 넷플릭스톡 속았다"" 팔로우구독하고 더 재미있는 소식받기 월드","""피힐 무비스푼: 아이유도 피할 수 없었던 그 시절의 끔찍한 시집살이! 넷플릭스톡에서 속지 마세요. 팔로우하고 더 재미있는 소식 받아보세요!"""
8,"bb (가족들은 여행갔는데.. ""누구세요...?","""가족들은 여행 중... '이게 누구지?'"""
8,고양이라고??? 내가? 가?,"""내가 고양이라고? 정말 내가?"""
9,포항자유매국 김영주 단 국민이 식 투 지켜보고 김보 대한민국 1호프로 반공러 shpich,"""포항 자유 매국 김영주, 국민이 지켜보는 대한민국 1호 프로 반공러"""
9,가장 난처한 질문 한국 vs 미국?,"""한국과 미국, 가장 난감한 질문은?"""
9,고노 다로 전 일본 외무대신이 생각하는 한미일의 현재와 미래,"""고노 다로 전 일본 외무대신이 바라본 한미일의 현재와 미래"""
9,2월 ism 제조업 pmi 미국 증시 라이브 2025년 03월 03일 (월),"""2025년 3월 3일 (월) 미국 증시 라이브: 2월 ISM 제조업 PMI"""
9,비농업 취업자수/암호화폐 서밋 미국 증시 라이브 2025년 03월 07일 (금),"""비농업 취업자 수/암호화폐 서밋, 미국 증시 라이브 - 2025년 3월 7일 (금)"""
10,이러니까 갤럭시에 뻑이가지;;; 남자는 the edit,"""이래서 갤럭시에 빠질 수밖에 없지! 남자의 선택, 더 에디트"""
10,완벽한 복제인간이 있다면 누가 '진짜' 나일까?,"""완벽한 복제인간이 존재한다면, '진짜' 나는 누구일까요?"""
10,3분이며 파악되는 아이폰163 ..ge..natnya... min d,"""3분 만에 알아보는 아이폰163의 모든 것!"""
10,"직무 ""직무를 왜 선택했냐” 이거예요 했나”","""왜 이 직무를 선택했냐고요? 바로 이 이유 때문이에요!"""
10,"이 두께, 성능.. 말이 되나? 전세계를 뒤집은 폴더블 폰","""이 두께와 성능, 믿을 수 있나요? 전 세계를 놀라게 한 폴더블 폰"""
